English,Russian,Armenian,French
Algae,водоросли,Ջրիմուռներ,Algues
Alteration,Изменение,Փոփոխություն,Altération
Administrator,Администратор,Ադմինիստրատոր,Administrateur
Abaringe,Абариндж,Աբարինգե,Abaringé
Absentee,Отсутствующий,Բացակայող,Absent
Adherent,Приверженец,Հավատարիմ,Adhérent
Almond,Миндаль,Նուշ,Amande
Advisability,Целесообразность,Խորհրդակցականություն,Opportunité
Albumin,Альбумин,Ալբոմին,Albumine
Absorber,Поглотитель,Ներծծող,Absorbeur
Ancient,Древний,Հնագույն,Ancien
Attitude,Отношение,Վերաբերմունք,Attitude
Activity,Активность,Գործունեություն,Activité
Accountant,Бухгалтер,Հաշվապահ,Comptable
Ax,Топор,Կացին,Hache
Abstinence,Воздержание,ժուժկալություն,Abstinence
Assemblage,Сборка,Հավաքում,Assemblage
Archaism,архаизм,Արխաիզմ,Archaïsme
Autograph,Автограф,Ինքնագիր,Un autographe
Agency,Агентство,Գործակալություն,Agence
Areosol,ареозол,Արեոսոլ,Aréosol
Antigen,Антиген,Հակագեն,Antigène
Absurdity,Абсурд,Անհեթեթություն,Absurdité
Avocado,Авокадо,Ավոկադո,Avocat
Appestat,Аппестат,Ապեստատ,Appestat
Aquarium,Аквариум,Ակվարիում,Aquarium
Analogue,Аналог,Անալոգային,Analogue
Avoidance,Избегание,Խուսափում,Évitement
Aesthete,Эстет,Էսթետ,Esthète
Amount,Количество,Գումարը,Quantité
Arm,Рука,Արմ,Bras
Actor,Актер,Դերասան,Acteur
Aquisition,Приобретение,Ձեռքբերում,Acquisition
Apparency,Внешний вид,Ակնհայտություն,Apparence
Apparition,Явление,Հայացք,Apparition
Ague,Лихорадка,Ագու,Fièvre
Antiseptic,Антисептик,Հակասեպտիկ,Antiseptique
Array,Множество,Զանգված,Déployer
Atm,банкомат,բանկոմատ,Au m
Admittance,Допуск,Ընդունելություն,Admission
Alloy,сплав,համաձուլվածք,Alliage
Amortization,Амортизация,Ամորտիզացիա,Amortissement
Ablation,Абляция,Աբլացիա,Ablation
Ammunition,Боеприпасы,Զինամթերք,Munition
Airflow,Расход воздуха,Օդի հոսքը,Flux d'air
Alum,квасцы,Շիբ,Alun
Advent,Адвент,Գալուստ,Avènement
Alert,Тревога,Զգուշացում,Alerte
Admirer,поклонник,Երկրպագող,Admirateur
Antiserum,Антисыворотка,Հակաշիճուկ,Antisérum
Acumen,Проницательность,Սրամտություն,Perspicacité
Amorality,Аморальность,Անբարոյականություն,Amoralité
Abode,Обитель,Բնակավայր,Demeure
Argentina,Аргентина,Արգենտինա,Argentine
Affinity,Близость,Հարազատություն,Affinité
Adequacy,Достаточность,Համարժեքություն,Adéquation
Autofluorescence,Автофлуоресценция,Ավտոֆլյորեսցենտ,Autofluorescence
Abortion,аборт,Աբորտ,Avortement
Auditorium,Актовый зал,Լսարան,Salle
Atrophy,Атрофия,Ատրոֆիա,Atrophie
Archbishop,Архиепископ,արք,Archevêque
Asthma,Астма,Ասթմա,Asthme
Ambush,Засада,Որոգայթ,Embuscade
Abdomen,Живот,Որովայն,Abdomen
Asphalt,Асфальт,Ասֆալտ,Asphalte
Amethystine,Аметистин,Ամետիստին,Amethystine
Anachronism,Анахронизм,Անախրոնիզմ,Anachronisme
Arch,Арка,Արք,Cambre
Accelerometer,Акселерометр,Արագաչափ,Accéléromètre
Aggregation,Агрегация,Ագրեգացիա,Agrégation
Acid,Кислота,Թթու,Acide
Arbiter,Арбитр,Արբիտր,Arbitre
Allusion,Аллюзия,Ակնարկում,Allusion
Angel,Ангел,Հրեշտակ,Ange
Anchovy,Анчоусы,Անչոուս,Anchois
Algaecide,Альгицид,Ջրիմուռասպան,Algicide
Airfield,Аэродром,Օդանավակայան,Aérodrome
Axle,Ось,Առանցք,Essieu
Abstractionism,Абстракционизм,Աբստրակցիոնիզմ,Abstractionnisme
Actuality,Актуальность,Իրականություն,Actualité
Annoyance,Раздражение,Անհանգստություն,Contrariété
Astronomer,Астроном,Աստղագետ,Astronome
Accessibility,Доступность,Մատչելիություն,Accessibilité
Accomplishment,Достижение,Ավարտելը,Accomplissement
Announcer,Диктор,Հաղորդավար,Annonceur
Automobile,Автомобиль,Ավտոմեքենա,Voiture
Address,Адрес,Հասցե,Adresse
Abstraction,Абстракция,Աբստրակցիա,Abstraction
Aircraft,Самолет,Ինքնաթիռ,Avion
Amusement,Развлечение,Զվարճություն,Amusement
Academic,Академический,Ակադեմիական,Académique
Attorney,Адвокат,Իրավաբան,Avocat
Awoc,Авок,Ավոկ,Awoc
Acclamation,Приветственный возглас,Ակլամացիա,Acclamation
Aspr,Аспр,Ասպր,Aspr
Annihilation,Аннигиляция,Ոչնչացում,Annihilation
Alligator,Аллигатор,Ալիգատոր,Alligator
Appropriation,присвоение,յուրացում,Appropriation
Alcoholism,Алкоголизм,Ալկոհոլիզմ,Alcoolisme
Argon,Аргон,Արգոն,Argon
Armadillo,Броненосец,Արմադիլո,Tatou
Ant,Муравей,Անտ,Fourmi
Avowal,признание,Ավալվալ,Aveu
Anticoagulation,Антикоагуляция,Հակակագուլյացիա,Anticoagulation
Adversary,противник,Հակառակորդ,Adversaire
Atom,Атом,Ատոմ,Atome
Aisle,Ряд,Միջանցք,Allée
Attendance,Посещаемость,Հաճախում,Présence
Analyticity,Аналитичность,Վերլուծություն,Analyticité
Amphibology,Амфибология,Ամֆիբոլոգիա,Amphibologie
Aura,Аура,Աուրա,Aura
Agriculture,сельское хозяйство,Գյուղատնտեսություն,Agriculture
Alphabet,Алфавит,Այբուբեն,Alphabet
Author,Автор,Հեղինակ,Auteur
Award,Награда,Մրցանակ,Décerner
Apologist,Апологет,Ներողություն,Apologiste
Abeyance,Отсрочка,Հանդարտություն,Situation en suspens
Abolitionist,Аболиционист,Աբոլիցիոնիստ,Abolitionniste
Academeh,Академех,Ակադեմի,Académie
Adolescent,Подросток,Դեռահաս,Adolescent
Allegiance,Верность,Հավատարմություն,Allégeance
Angelica,Анжелика,Անժելիկա,Angélique
Abasement,Унижение,Նվաստացում,Une cave
Antiquity,Античность,Հնություն,Antiquité
Affection,Привязанность,Սիրանք,Affection
Archfool,архидурак,Արքհիմար,Archimbécile
Assembly,Сборка,ժողով,Assemblée
Awe,Трепет,ակնածանք,Admiration
Adjustment,Корректирование,Կարգավորում,Ajustement
Assumption,Предположение,Ենթադրություն,Hypothèse
Ailment,Болезнь,Հիվանդություն,Maladie
Allure,Очарование,Գայթակղություն,Séduire
Aconte,Аконте,Ակոնտե,Aconte
Antecedent,Предшественник,Նախորդ,Antécédent
Assimilation,ассимиляция,Ձուլում,Assimilation
Airmail,Авиапочта,Ավիափոստ,Poste aérienne
Acknowledgement,Подтверждение,Ճանաչում,Reconnaissance
Accountability,Подотчетность,Պատասխանատվություն,Responsabilité
Antibody,антитело,Հակամարմին,Anticorps
Artistry,Артистизм,Արվեստագիտություն,Talent artistique
Arithmetic,Арифметика,Թվաբանություն,Arithmétique
Abstention,Воздержался,ձեռնպահ,Abstention
Attack,Атака,Հարձակում,Attaque
Ascetic,Аскет,Ասկետիկ,Ascétique
Auxiliary,Вспомогательный,Օժանդակ,Auxiliaire
Addiction,Зависимость,Կախվածություն,Dépendance
Attacker,Злоумышленник,Հարձակվող,Attaquant
Acquisition,Получение,Ձեռքբերում,Acquisition
Attribute,Атрибут,Հատկանիշ,Attribut
Arrogance,Высокомерие,Մեծամտություն,Arrogance
Alignment,Выравнивание,Հավասարեցում,Alignement
Anarchist,анархист,Անարխիստ,Anarchiste
Apathy,Апатия,Անտարբերություն,Apathie
Affair,Роман,Գործ,Aventure
Attempt,Пытаться,Փորձ,Tentative
Authentication,Аутентификация,Նույնականացում,Authentification
Airmen,Летчики,Օդաչուներ,Aviateurs
Alienation,Отчуждение,Օտարացում,Aliénation
Aspiration,Стремление,Ձգտում,Aspiration
Authenticity,Подлинность,Վավերականություն,Authenticité
Agent,Агент,Գործակալ,Agent
Archtype,Архтип,Արխտիպ,Architype
Aviary,Вольер,Թռչնանոց,Volière
Acquittal,оправдательный приговор,Արդարացում,Acquittement
Annum,Годовой,Տարեկան,Annuel
Alley,Аллея,նրբանցք,Ruelle
Allotment,выделение,Հատկացում,Attribution
Anaprapath,Анапрапат,Անապրապատ,Anaprapath
Algorithm,Алгоритм,Ալգորիթմ,Algorithme
Apprenticeship,Ученичество,Աշակերտություն,Apprentissage
Artificiality,Искусственность,Արհեստականություն,Facticité
Assiduity,Усидчивость,Հաստատակամություն,Assiduité
Aggregate,Совокупность,Ագրեգատ,Agrégat
Accuracy,Точность,Ճշգրտություն,Précision
Album,Альбом,Ալբոմ,Album
Adhesion,Адгезия,Կպչունություն,Adhésion
Anchor,Якорь,Խարիսխ,Ancre
Approach,Подход,Մոտեցում,Approche
Anisotropy,Анизотропия,Անիզոտրոպիա,Anisotropie
Anguish,Тоска,Տառապանք,Angoisse
Appeal,Обращаться,Բողոքարկում,Appel
Affront,оскорбление,Վիրավորանք,Affront
Airspeed,Скорость полета,Օդային արագություն,Vitesse
Anniversary,Годовщина,տարեդարձ,Anniversaire
Additive,добавка,Հավելանյութ,Additif
Autism,аутизм,Աուտիզմ,Autisme
Adversity,Невзгоды,Դժբախտություն,Adversité
Arcade,Аркада,Արկադային,Arcade
Assertion,Утверждение,Պնդում,Affirmation
Athleticism,Атлетизм,Ատլետիկիզմ,Athlétisme
Anthropology,Антропология,Մարդաբանություն,Anthropologie
Artifice,Искусность,Արհեստականություն,Artifice
Aid,Помогать,օգնություն,Aide
Aggression,Агрессия,Ագրեսիա,Agression
Accomplice,сообщник,Մեղսակից,Complice
Adherence,Приверженность,Հավատարմություն,Adhérence
Appearance,Появление,Արտաքին տեսք,Apparence
Aerosol,аэрозоль,Աերոզոլ,Aérosol
Altercation,Ссора,Վիճաբանություն,Altercation
Arsenal,Арсенал,Արսենալ,Arsenal
Adrenal,надпочечников,Վերերիկամային,Surrénal
Alien,Инопланетянин,Այլմոլորակային,Extraterrestre
Avenue,проспект,պողոտա,rue
Acrylic,Акрил,Ակրիլ,Acrylique
Alarm,Тревога,Ահազանգ,Alarme
Absolution,Отпущение грехов,Բացահայտում,Absolution
Athlete,Спортсмен,Մարզիկ,Athlète
Alkali,щелочь,Ալկալի,Alcali
Antennae,Антенны,Անտենաներ,Antennes
Attraction,Привлечение,Գրավչություն,Attraction
Abundance,Избыток,Առատություն,Abondance
Adjournment,Отсрочка,Հետաձգում,Ajournement
Arrack,Аррак,Արրաք,Arak
Accessory,Аксессуар,Աքսեսուար,Accessoire
Autumn,Осень,Աշուն,Automne
Accreditation,Аккредитация,Հավատարմագրում,Accréditation
Animism,Анимизм,Անիմիզմ,Animisme
Accelerator,Ускоритель,Արագացուցիչ,Accélérateur
Advisement,совет,Խորհուրդ,Conseil
Artiste,Артист,Արտիստ,Artiste
Agitation,Агитация,Գրգռում,Agitation
Affect,Оказывать воздействие,Ազդել,Affecter
Altar,Алтарь,զոհասեղան,Autel
Activation,Активация,Ակտիվացում,Activation
Avalanche,Лавина,Ձնահյուս,avalanche
Autobiography,Автобиография,Ինքնակենսագրություն,Autobiographie
Affluence,Изобилие,Հարստություն,Richesse
Aye,да,Այո՛,Toujours
Accordance,соответствие,Համապատասխանություն,Conformité
Abuse,Злоупотреблять,Չարաշահում,Abuser de
Archipelago,Архипелаг,Արշիպելագ,Archipel
Amazement,Изумление,Զարմանք,Stupéfaction
Anthology,Антология,Անթոլոգիա,Anthologie
Artillery,Артиллерия,Հրետանային,Artillerie
Arrival,Прибытие,Ժամանում,Arrivée
Antelope,антилопа,Անթելոպա,Antilope
Abridgment,Сокращение,Կրճատում,Abrégement
Allurement,соблазн,Գայթակղություն,Séduction
Ability,Способность,Կարողություն,Capacité
Anonymity,Анонимность,Անանունություն,Anonymat
Anomaly,Аномалия,Անոմալիա,Anomalie
Accordion,Аккордеон,Ակորդեոն,Accordéon
Arabesque,Арабески,Արաբեսկ,Arabesque
Approximation,приближение,Մոտավորություն,Approximation
Amplifier,Усилитель мощности,Ուժեղացուցիչ,Amplificateur
Amateur,Любительское,Սիրողական,Amateur
Apology,извинения,Ներողություն,Excuses
Ardor,Пыл,Արդոր,Ardeur
Affliction,несчастье,Տառապանք,Affliction
Achiever,Достиженец,Նվաճող,Réalisateur
Ally,Союзник,Դաշնակից,Allié
Assassin,Убийца,Մարդասպան,Assassin
Announcement,Объявление,Հայտարարություն,Annonce
Assurance,гарантия,Հավաստիացում,Assurance
Alveoli,Альвеолы,Ալվեոլներ,Alvéoles
Anchorage,Анкоридж,խարիսխ,Ancrage
Azure,Лазурный,Լազուր,Azur
Allergy,аллергия,Ալերգիա,Allergie
Angle,Угол,Անկյուն,Angle
Astronaut,Астронавт,Տիեզերագնաց,Astronaute
Accompanist,концертмейстер,Ուղեկցող,Accompagnateur
Aridity,Засушливость,Չորություն,Aridité
Armchair,Кресло,Բազկաթոռ,Fauteuil
Anvil,Наковальня,Կոճ,Enclume
Acre,акр,ակր,Acre
Airlift,Воздушный транспорт,Օդափոխում,Transport aérien
Armament,Вооружение,Սպառազինություն,Armement
Audition,Прослушивание,Լսում,Audition
Arrangement,Договоренность,Պայմանավորվածություն,Arrangement
Ammo,Боеприпасы,Զինամթերք,Munitions
Aunt,Тетя,Մորաքույր,Tante
Autocollimator,Автоколлиматор,Ավտոկոլիմատոր,Autocollimateur
Ascent,Восхождение,Վերելք,Ascension
Aspirin,Аспирин,Ասպիրին,Aspirine
Attrition,Потертость,Մաշվածություն,Usure
Accretion,Аккреция,Ակտիվացում,Accumulation
Alderman,олдермен,Ալդերմեն,Échevin
Alimony,Алименты,Ալիմենտ,Pension
Amulet,Амулет,Ամուլետ,Amulette
Acceleration,Ускорение,Արագացում,Accélération
Assigner,Назначатель,Հանձնարար,Cédant
Ammonium,Аммоний,Ամոնիում,Ammonium
Adoption,Принятие,Որդեգրում,Adoption
Academy,Академия,ակադեմիա,Académie
Aiche,Айше,Աիչե,Aiche
Asset,Актив,Ակտիվ,Actif
Aku,Аку,Ակու,Aku
Antidote,Противоядие,Հակաթույն,Antidote
Amplification,усиление,Ուժեղացում,Amplification
Assay,анализ,Վերլուծություն,Essai
Allegory,Аллегория,Այլաբանություն,Allégorie
Adverb,Наречие,Մակբայ,Adverbe
Argot,Арго,Արգոտ,Argot
Animation,Анимация,Անիմացիա,Animation
Adjudication,Судебное решение,Դատավարություն,Arbitrage
Adobe,Adobe,Adobe,Adobe
Aplomb,Апломб,Aplomb,Aplomb
Alternative,Альтернатива,Այլընտրանք,Alternative
Alternate,Альтернативный,Այլընտրանքային,Alterner
Analyst,Аналитик,Վերլուծաբան,Analyste
Appanage,удел,Ապանաժ,Apanage
Abandonment,Заброшенность,Լքվածություն,Abandon
Assonance,Ассонанс,Ասոնանս,Assonance
Alcohol,Алкоголь,Ալկոհոլ,De l'alcool
Auditor,Аудитор,Աուդիտոր,Auditeur
Aerial,Воздушный,Օդային,Aérien
Alumnae,Выпускницы,Շրջանավարտներ,Diplômées
Annual,Ежегодный,Տարեկան,Annuel
Apologetic,извиняющийся,Ներողություն խնդրելով,Apologétique
Adventure,Приключение,Արկած,Aventure
Aperture,Диафрагма,բացվածք,Ouverture
Assesment,оценка,Գնահատում,Évaluation
Aerator,Аэратор,Օդափոխիչ,Aérateur
Archenemy,Заклятый враг,Ոխերիմ թշնամի,Ennemi juré
Awardee,Лауреат,Պարգևատրված,Récipiendaire
Apartheid,апартеид,Ապարտեյդ,Aparté
Antique,Античный,Հնաոճ,Antique
Archetype,Архетип,Արխետիպ,Archétype
Autonomy,Автономия,Ինքնավարություն,Autonomie
Analogy,Аналогия,Անալոգիա,Analogie
Animosity,враждебность,Թշնամություն,Animosité
Academician,Академик,Ակադեմիկոս,Académicien
Allocation,Распределение,Հատկացում,Allocation
Admiralty,Адмиралтейство,Ծովակալություն,Amirauté
Antisera,Антисыворотка,Հակասերիա,Antisérums
Antagonist,Антагонист,Հակառակորդ,Antagoniste
Attire,Наряд,Զգեստ,Tenue
Area,Площадь,Տարածք,Surface
Architecture,Архитектура,Ճարտարապետություն,Architecture
Advice,Совет,Խորհուրդ,Conseils
Antagonism,Антагонизм,Անտագոնիզմ,Antagonisme
Aeration,Аэрация,Օդափոխություն,Aération
Asteroid,Астероид,Աստերոիդ,Astéroïde
Automaton,Автомат,Ավտոմատ,Automate
Ace,Туз,Էյս,As
Aluminum,Алюминий,Ալյումինե,Aluminium
Adulthood,Совершеннолетие,Չափահասություն,L'âge adulte
Attainment,Достижение,Հասնում,Réalisation
Axis,Ось,Առանցք,Axe
Acetone,Ацетон,Ացետոն,Acétone
Armoire,Шкаф,Զենք ու զրահ,Armoire
Azalea,Азалия,Ազալիա,Azalée
Arc,Дуга,Արկ,Arc
Alaskan,аляскинский,Ալյասկայի,Alaskien
Agitator,Мешалка,Ագիտատոր,Agitateur
Anxiety,Беспокойство,Անհանգստություն,Anxiété
Ambulance,Скорая помощь,Շտապ օգնություն,Ambulance
Altruism,Альтруизм,Ալտրուիզմ,Altruisme
Assent,согласие,Համաձայնություն,Assentiment
Apparel,Одежда,Հագուստ,Vêtements
Acclaim,признание,Հավանություն,Acclamer
Adage,Поговорка,Ազդեցություն,Adage
Avocation,Призвание,Ավոկացիա,Métier
Activism,Активизм,Ակտիվիզմ,Activisme
Auto,Авто,Ավտոմատ,Auto
Assortment,Ассортимент,Տեսականին,Assortiment
Autonavigator,Автонавигатор,Ավտոնավիգատոր,Navigateur automatique
Antipathy,антипатия,Անտիպատիա,Antipathie
Apportionment,Распределение,Բաշխում,Répartition
Authenticator,Аутентификатор,Authenticator,Authentificateur
Adaptation,Приспособление,Հարմարվողականություն,Adaptation
Adolescence,Подростковый возраст,Դեռահասություն,Adolescence
Antenna,Антенна,Անտենա,Antenne
Amide,Амид,Ամիդ,Amide
Arousal,Возбуждение,Գրգռում,Éveil
Anteater,Муравьед,Մրջնակեր,Fourmilier
Asceticism,Аскетизм,Ասցետիզմ,Ascétisme
Achievement,Достижение,Ձեռքբերում,Réalisation
Alleviation,облегчение,Մեղմացում,Allégement
Aleck,Алек,Ալեք,Aleck
Associate,Ассоциированный,Գործակից,Associé
Anchoritism,Анхоризм,Անկորիտիզմ,Anchoritisme
Affirmation,Подтверждение,Հաստատում,Affirmation
Awkwardness,Неловкость,Անհարմարություն,Maladresse
Anglophilia,англофилия,Անգլոֆիլիա,Anglophilie
Anatomical,Анатомический,Անատոմիական,Anatomique
Admission,Допуск,Ընդունելություն,Admission
Appetite,Аппетит,Ախորժակ,Appétit
Armhole,Пройма,Armhole,Emmanchure
Act,Действовать,Գործել,Loi
Ale,Эль,Ալե,Ale
Anticipation,Ожидание,Սպասում,Anticipation
Autopsy,Вскрытие,Դիահերձում,Autopsie
Answer,Отвечать,Պատասխանել,Répondre
Advancement,Продвижение,Առաջխաղացում,Avancement
Acacia,Акация,Ակացիա,Acacia
Aptitude,Способность,Ընդունակություն,Aptitude
Applause,Аплодисменты,Ծափահարություններ,Applaudissements
Advocacy,Адвокация,փաստաբանություն,Plaidoyer
Anomie,Аномия,Անոմիա,Anomie
Asdic,Асдик,Ասդիկ,Asdic
Andrena,Андрена,Անդրենա,Andréna
Algebra,Алгебра,Հանրահաշիվ,Algèbre
Ante,Анте,Անտե,Ante
Acknowledgment,Подтверждение,Ճանաչում,Reconnaissance
Absorption,Поглощение,Կլանում,Absorption
Asymmetry,Асимметрия,Ասիմետրիա,Asymétrie
Assist,помочь,Աջակցել,Aider
Apex,Апекс,Գագաթ,Sommet
Abstract,Абстрактный,Վերացական,Abstrait
Anaconda,Анаконда,Անակոնդա,Anaconda
Aviator,Авиатор,Ավիատոր,Aviateur
Archdiocese,Архиепископия,Արքեպիսկոպոս,Archidiocèse
Adjutant,Адъютант,Ադյուտանտ,Adjudant
Aspen,Аспен,Ասպեն,Tremble
Audacity,Мужество,Հանդգնություն,Audace
Aryl,Арил,Արիլ,Aryle
Anion,Анион,Անիոն,Anion
Artisan,Ремесленник,Արհեստավոր,Artisan
Almsgiver,милостыня,Ողորմած,Donneur d'aumône
Availability,Доступность,Հասանելիություն,Disponibilité
Assistant,Ассистент,Օգնական,Assistant
Aeon,Эон,Էոն,Temps infini
Attic,Чердак,Ձեղնահարկ,Grenier
Amorist,аморист,Սիրահար,Amoriste
Ancestor,Предок,Նախահայր,Ancêtre
Advance,Продвигать,Կանխավճար,Avance
Appointment,Встреча,Նշանակում,Rendez-vous
Article,Статья,Հոդված,Article
Acolyte,Аколит,Ակոլիտ,Acolyte
Alumni,Выпускники,շրջանավարտներ,Anciens
Afghan,афганский,Աֆղանստան,afghan
Appointee,назначенный,նշանակված,Nommé
Affectation,привязанность,Սիրվածություն,Affectation
Account,Счет,Հաշիվ,Compte
Axe,Топор,Կացին,Hache
Antibiotic,Антибиотик,Հակաբիոտիկ,Antibiotique
Alto,Альт,Ալտո,Alto
Avarice,Алчность,Ագահություն,Avarice
Accent,Акцент,Առոգանություն,Accent
Autosuggestibility,Самовнушение,Ավտոառաջարկություն,Autosuggestibilité
Antifundamentalist,Антифундаменталист,Հակաֆունդամենտալիստ,Antifondamentaliste
Automatic,автоматический,Ավտոմատ,Automatique
Authority,Орган власти,Իշխանություն,Autorité
Ambiance,Атмосфера,Մթնոլորտ,Ambiance
Argument,Аргумент,Փաստարկ,Argument
Ambition,Амбиция,Փառասիրություն,Ambition
Altitude,Высота,Բարձրություն,Altitude
Aim,Цель,Նպատակ,But
Allowance,Разрешение,Նպաստ,Allocation
Aviation,Авиация,Ավիացիա,Aviation
Age,Возраст,Տարիք,Âge
Auctioneer,аукционист,Աճուրդավար,Commissaire-priseur
Anatomy,Анатомия,Անատոմիա,Anatomie
Arson,Поджог,Հրկիզում,Incendie criminel
Appreciator,Ценитель,Գնահատող,Appréciateur
Aide,помощник,օգնական,Aide
Audience,Аудитория,Հանդիսատես,Public
Abyss,Бездна,Անդունդ,Abîme
Aficionada,афисионада,Սիրահարվածություն,Aficionada
Airlock,шлюз,Airlock,Sas
Acceptor,Акцептор,Ընդունող,Accepteur
Advertisement,Реклама,Գովազդ,Publicité
Appliance,прибор,Սարքավորում,Appareil
Acetate,Ацетат,Ացետատ,Acétate
Abreaction,Абреакция,Շեղում,Abréaction
Aspirant,Претендент,Ձգտող,Aspirant
Aqueduct,Акведук,Ջրատար,Aqueduc
Abbey,Аббатство,Աբբայություն,une abbaye
Accusation,Обвинение,Մեղադրանք,Accusation
Amity,дружба,Բարեկամություն,Amitié
Airplane,Самолет,Ինքնաթիռ,Avion
Anthropologist,Антрополог,Մարդաբան,Anthropologiste
Abjection,отвращение,Վրդովմունք,Abjection
Anglophobia,англофобия,Անգլոֆոբիա,Anglophobie
Animal,Животное,Կենդանական,Animal
Arena,Арена,Արենա,Arène
Asw,АСВ,Ասվ,Asw
Atonement,Искупление,Քավություն,Expiation
Ambassador,посол,Դեսպան,Ambassadeur
Adviser,Советник,խորհրդական,Conseiller
Airport,аэропорт,Օդանավակայան,Aéroport
Alchemy,Алхимия,Ալքիմիա,Alchimie
Actinometer,Актинометр,Ակտինոմետր,Actinomètre
Amplitude,Амплитуда,Լայնություն,Amplitude
Absentia,заочное,Բացակայություն,Absence
Avail,Доступно,Օգտակար,Profiter
Arylesterase,Арилэстераза,Արիլեստերազ,Arylestérase
Anode,Анод,Անոդ,Anode
Asme,Как я,Ինչպես ինձ,Comme moi
Aroma,Аромат,Բուրմունք,Arôme
Astonishment,Удивление,Զարմանք,Étonnement
Archaeology,Археология,Հնագիտության,Archéologie
Arroyo,Арройо,Արոյո,Arroyo
Archery,Стрельба из лука,Աղեղնաձգություն,Tir à l'arc
Assistance,Помощь,Աջակցություն,Assistance
Arbitration,Арбитраж,Միջնորդ դատարանի որոշում,Arbitrage
Arsenic,мышьяк,Արսեն,Arsenic
Aniline,Анилин,Անիլին,Aniline
Apothecary,аптекарь,դեղագործություն,Apothicaire
Ambuscade,Засада,Դիապանություն,Embuscade
Alpaca,Альпака,Ալպակա,Alpaga
Absorbency,Впитывающая способность,Ներծծողություն,Absorption
Agrarian,Аграрный,Ագրարային,Agraire
Absenteeism,Абсентеизм,Բացակայություն,Absentéisme
Axiom,Аксиома,Աքսիոմա,Axiome
Assailant,Нападавший,Հարձակվող,Agresseur
Aberration,Аберрация,Շեղում,Aberration
Adult,Взрослый,Չափահաս,Adulte
Admonition,Замечание,Հորդոր,Admonition
Audit,Аудит,Աուդիտ,Audit
Acetonemia,ацетонемия,Ացետոնեմիա,Acétonémie
Assessment,Оценка,Գնահատում,Évaluation
Adjunct,Дополнение,կից,Auxiliaire
Approval,Одобрение,Հաստատում,Approbation
Agglutination,Агглютинация,Ագլյուտինացիա,Agglutination
