English,Russian,Armenian,French
date,датировать, ամսաթիվը,Date
daughter,дочь, դուստրը,fille
day,день, օր,journée
dead,мертвых, մահացած,morte
deal,по рукам, գործարք,accord
dealer,дилер, դիլեր,Marchand
dear,дорогой, սիրելի,chère
death,смерть, մահ,la mort
debate,дебаты, բանավեճ,débat
debt,долг, պարտք,dette
decision,решение, որոշումը,décision
deep,глубокий, խոր,Profond
definition,определение, սահմանում,définition
degree,степень, աստիճան,degré
delay,задерживать, ուշացում,retard
delivery,Доставка, առաքում,livraison
demand,требование, պահանջարկ,demande
department,отделение, բաժին,département
departure,выезд, մեկնում,Départ
dependent,зависимый, կախյալ,dépendant
deposit,депозитный, ավանդ,dépôt
depression,депрессия, դեպրեսիա,une dépression
depth,глубина, խորություն,profondeur
description,описание, նկարագրությունը,la description
design,дизайн, դիզայն,motif
designer,дизайнер, դիզայներ,designer
desire,желание, ցանկություն,le désir
desk,стол письменный, գրասեղան,bureau
detail,деталь, մանրամասն,détail
development,разработка, զարգացում,développement
device,устройство, սարքը,appareil
devil,дьявол, Սատանա,diable
diamond,бриллиант, ադամանդ,diamant
diet,рацион питания, դիետա,diète
difference,разница, տարբերությունը,différence
difficulty,трудность, դժվարություն,difficulté
dig,копать землю, փորել,creuser
dimension,измерение, հարթություն,dimension
dinner,обед, ընթրիք,dîner
direction,направление, ուղղությունը,direction
director,директор, տնօրեն,directeur
dirt,грязь, կեղտ,saleté
disaster,стихийное бедствие, աղետ,catastrophe
discipline,дисциплина,կարգապահություն,discipline
discount,скидка, զեղչ,remise
discussion,дискуссия, քննարկում,discussion
disease,болезнь, հիվանդություն,maladie
dish,блюдо, ուտեստ,assiette
disk,диск, սկավառակ,disque
display,отображать, ցուցադրել,affichage
distance,расстояние, հեռավորությունը,distance
distribution,распределение, բաշխում,Distribution
district,округ, շրջան,quartier
divide,разделять, բաժանել,diviser
doctor,доктор, բժիշկ,docteur
document,документ, փաստաթուղթ,document
dog,собака, շուն,chien
door,дверь, դուռ,porte
dot,точка, կետ,point
double,двойной, կրկնակի,double
doubt,сомневаться, կասկած,doute
draft,черновой вариант, նախագիծը,Brouillon
drag,тащить, քաշել,glisser
drama,драма, դրամա,drame
draw,рисовать, նկարել,dessiner
drawer,ящик, դարակ,tiroir
drawing,рисунок, նկարչություն,dessin
dream,мечтать, երազել,rêve
dress,платье, զգեստ,robe
drink,напиток, խմել,boire
drive,водить машину, քշել,lecteur
driver,Водитель, վարորդ,chauffeur
drop,уронить, անկում,goutte
drunk,пьяный, խմած,ivre
due,в связи, պայմանավորված,dû
dump,свалка, թափել,décharger
dust,пыль, փոշին,poussière
duty,долг, պարտականություն,devoir
ear,ухо, ականջ,oreille
earth,Земля, երկիր,la terre
ease,простота, թեթեւացնել,faciliter
east,восток, արևելք,est
eat,есть, ուտել,manger
economics,Экономика, տնտեսագիտություն,économie
economy,экономика, տնտ,économie
edge,край, եզր,bord
editor,редактор, խմբագիր,éditeur
education,образование, կրթություն,éducation
effect,эффект, ազդեցություն,effet
effective,эффективная, արդյունավետ,efficace
efficiency,эффективность, արդյունավետությունը,efficacité
effort,усилие, ջանք,effort
egg,яйцо, ձու,Oeuf
election,выборы, ընտրություն,élection
elevator,лифт, վերելակ,ascenseur
emergency,чрезвычайное происшествие, արտակարգ իրավիճակ,urgence
emotion,эмоция, զգացմունք,émotion
emphasis,акцент, շեշտադրում,accentuation
employ,применять, աշխատանքի տեղավորել,employer
employee,работник, աշխատող,employé
employer,работодатель, գործատու,employeur
employment,работа, զբաղվածություն,emploi
end,конец, վերջ,fin
energy,энергия, էներգիա,énergie
engine,двигатель, շարժիչ,moteur
engineer,инженер, ինժեներ,ingénieur
engineering,инженерный, ճարտարագիտություն,ingénierie
entertainment,развлекательная программа, զվարճություն,divertissement
enthusiasm,энтузиазм, խանդավառություն,enthousiasme
entrance,вход, մուտք,entrée
entry,вход, մուտք,entrée
environment,среда, միջավայրը,environnement
equal,равный, հավասար,égal
equipment,оборудование, սարքավորումներ,équipement
equivalent,эквивалент, համարժեք,équivalent
error,ошибка, սխալ,Erreur
escape,побег, փախչել,s'échapper
essay,сочинение, էսսե,essai
establishment,учреждение, հիմնում,établissement
estate,имущество,գույք,domaine
estimate,оценить, նախահաշիվը,estimation
evening,вечер, երեկո,soirée
event,событие, իրադարձություն,un événement
evidence,доказательство, ապացույցներ,preuve
exam,экзамен, քննություն,examen
examination,экзамен, քննություն,examen
example,пример, օրինակ,Exemple
exchange,обмен, փոխանակում,échanger
excitement,возбуждение, հուզմունք,excitation
excuse,извинение, արդարացում,excuse
exercise,упражнение, վարժություն,exercice
exit,выход, ելք,sortir
experience,опыт, փորձը,de l'expérience
expert,эксперт, փորձագետ,expert
explanation,объяснение, բացատրություն,explication
expression,выражение, արտահայտություն,expression
extension,расширение, երկարաձգում,extension
extent,степень, չափ,Le degré
external,внешний, արտաքին,externe
extreme,крайний, ծայրահեղ,extrême
eye,глаз, աչք,œil
face,лицо, դեմքը,Visage
fact,факт, փաստ,fait
factor,фактор, գործոն,facteur
fail,потерпеть поражение, ձախողվել,échouer
failure,отказ, ձախողում,échec
fall,падение, աշնանը,tombe
familiar,привычный, ծանոթ,familier
family,семья, ընտանիք,famille
fan,поклонник, երկրպագու,ventilateur
farm,ферма, ֆերմա,cultiver
farmer,фермер, ֆերմեր,fermier
fat,толстый, ճարպ,gros
father,отец, հայրիկ,père
fault,вина, մեղքով,défaut
fear,страх, վախ,la crainte
feature,особенность, հատկանիշ,caractéristique
fee,платеж, վճար,frais
feed,подача, կերակրել,nourrir
feedback,Обратная связь, հետադարձ կապ,Rétroaction
feel,Чувствовать, զգալ,ressentir
feeling,чувство, Զգացմունք,sentiment
female,женский, իգական,Femme
few,немного, քիչ,peu
field,поле, դաշտ,domaine
fight,Борьба, պայքարել,se battre
figure,фигура, գործիչ,chiffre
file,файл, ֆայլ,dossier
fill,наполнять, լրացնել,remplir
film,фильм, ֆիլմ,film
final,финал, եզրափակիչ,final
finance,финансы, ֆինանսներ,finance
finding,нахождение, գտնելը,découverte
finger,Палец, մատը,doigt
finish,финиш, ավարտել,terminer
fire,Огонь, կրակ,Feu
fish,рыбы, ձուկ,poisson
fishing,ловит рыбу, ձկնորսություն,faire de la pêche
fix,исправить, ուղղել,réparer
flight,полет, թռիչք,vol
floor,пол, հատակ,étage
flow,поток, հոսքը,couler
flower,цветок, ծաղիկ,fleur
fly,летать, թռչել,mouche
focus,фокус, կենտրոնանալ,se concentrer
fold,складывать, ծալել,plier
following,следующий, հետեւելով,Suivant
food,еда, սնունդ,aliments
foot,фут, ոտք,le pied
football,футбол, ֆուտբոլ,Football
force,сила, ուժ,Obliger
forever,навсегда, ընդմիշտ,toujours
form,форма, ձեւը,formulaire
formal,формальный, պաշտոնական,officiel
fortune,удача, հարստություն,fortune
foundation,Фонд, հիմքը,fondation
frame,Рамка, շրջանակ,Cadre
freedom,свобода, ազատություն,liberté
friend,друг, ընկեր,ami
friendship,дружба,բարեկամություն,Amitié
front,фронт, ճակատ,de face
fruit,фрукты, պտուղ,fruit
fuel,топливо, վառելիք,carburant
fun,весело, զվարճանք,amusement
function,функция, ֆունկցիան,une fonction
funeral,похороны, հուղարկավորություն,funéraire
funny,веселая, զվարճալի,marrant
future,будущее, ապագան,futur
gain,прирост, շահույթ,Gain
game,игра, խաղ,Jeu
gap,зазор, բացը,écart
garage,гараж, ավտոտնակ,garage
garbage,мусор, աղբ,ordures
garden,сад, այգի,jardin
gas,газ, գազ,gaz
gate,ворота, Դարպաս,portail
gather,собирать, հավաքել,rassembler
gear,механизм, հանդերձում,engrenage
gene,ген, գեն,gène
general,генеральный, գեներալ,général
gift,подарок, նվեր,cadeau
girl,девочка, աղջիկ,fille
girlfriend,Подруга, Ընկերուհի,petite amie
give,дайте, տալ,donner
glad,радостный, ուրախ,content
glass,стакан, ապակի,verre
glove,перчатка, ձեռնոց,gant
go,идти, գնա,va
goal,Цель, նպատակ,objectif
god,Бог, աստված,Dieu
gold,золото, ոսկի,or
golf,гольф, գոլֆ,le golf
good,хороший, լավ,bien
government,правительство, կառավարություն,gouvernement
grab,схватить, գրավել,attraper
grade,оценка, գնահատական,grade
grand,гранд, մեծ,grandiose
grandfather,дедушка, պապիկ,grand-père
grandmother,бабушка, տատիկ,grand-mère
grass,трава, խոտ,gazon
great,отличный, մեծ,génial
green,зеленый, կանաչ,vert
grocery,бакалея, մթերային,épicerie
ground,земля, գետնին,sol
group,группа, խումբ,groupe
growth,рост, աճը,croissance
guarantee,гарантия, երաշխիք,garantie
guard,сторожить, պահակ,garder
guess,предполагать, գուշակել,devine
guest,гость, հյուր,invité
guidance,руководство, ուղղորդում,conseils
guide,гид, ուղեցույց,guide
guitar,гитара, կիթառ,guitare
guy,парень, տղա,gars
habit,привычка, սովորություն,habitude
hair,волосы, մազերը,Cheveu
half,половина, կեսը,la moitié
hall,зал, դահլիճ,entrée
hand,рука, ձեռքը,main
handle,справиться, բռնակ,manipuler
hang,вешать, կախել,pendre
harm,вред, վնաս,préjudice
hat,шапка, գլխարկ,chapeau
hate,ненавидеть, ատելություն,détester
head,главный, գլուխ,tête
health,здоровье, առողջություն,santé
hearing,слушание, լսողություն,audience
heart,сердце, սիրտ,cœur
heat,нагревать, ջերմություն,Chauffer
heavy,тяжелый, ծանր,lourd
height,рост, բարձրությունը,la taille
hell,ад, դժոխք,enfer
hello,Привет, Բարեւ Ձեզ,salut
help,помощь, Օգնություն,aider
hide,Спрятать, թաքցնել,cacher
high,высокий, բարձր,haut
highlight,выделять, ընդգծել,surligner
highway,шоссе, մայրուղի,Autoroute
hire,Наем, վարձել,louer
historian,историк, պատմաբան,historien
history,история, պատմությունը,l'histoire
hit,ударять, հարվածել,frappé
hold,держать, պահել,prise
hole,дыра,փոս,trou
holiday,день отдыха, տոն,vacances
home,дом, տուն,domicile
homework,домашнее задание, Տնային աշխատանք,devoirs
honey,медовый, մեղր,chéri
hook,крюк, կեռիկ,accrocher
hope,надеяться, հույս,espérer
horror,ужастик, սարսափ,horreur
horse,лошадь, ձի,cheval
hospital,больница, հիվանդանոց,hôpital
host,хозяин, հյուրընկալող,hôte
hotel,Гостиница, հյուրանոց,Hôtel
hour,час, ժամ,heure
house,жилой дом, տուն,loger
housing,Корпус, բնակարանային,logement
human,человек, մարդ,Humain
hunt,охотиться, որս,chasser
hurry,торопиться, շտապեք,dépêche toi
hurt,повредить, վիրավորվել,blesser
husband,муж, ամուսին,mari
ice,лед, սառույց,la glace
idea,идея, գաղափարը,idée
ideal,идеал, իդեալական,idéal
if,если, եթե,si
illegal,нелегальный, անօրինական,illégal
image,изображение, պատկեր,image
imagination,воображение, երևակայություն,imagination
impact,влияние, ազդեցություն,impacter
implement,осуществлять, իրականացնել,mettre en œuvre
importance,значение, կարևորությունը,importance
impress,впечатление, տպավորվել,impressionner
impression,впечатление, տպավորություն,impression
improvement,улучшение, բարելավում,amélioration
incident,инцидент, միջադեպ,incident
income,доход, եկամուտը,le revenu
increase,увеличивать, աճ,augmenter
independence,Независимость, անկախություն,indépendance
independent,независимый, անկախ,indépendant
indication,Индикация, ցուցում,indication
individual,индивидуальный, անհատական,individuel
industry,промышленность, Արդյունաբերություն,industrie
inevitable,неизбежный, անխուսափելի,inévitable
inflation,инфляция, գնաճը,inflation
influence,оказать влияние, ազդեցություն,influence
information,Информация, տեղեկատվություն,renseignements
initial,исходный, սկզբնական,initial
initiative,инициатива, նախաձեռնությունը,initiative
injury,рана, վնասվածք,blessure
insect,насекомое, միջատ,insecte
inside,внутри, ներսում,à l'intérieur
inspection,осмотр, զննում,inspection
inspector,инспектор, տեսուչ,inspecteur
instance,пример, օրինակ,exemple
instruction,инструкция, հրահանգ,instruction
insurance,страхование, ապահովագրություն,Assurance
intention,намерение, մտադրություն,intention
interaction,взаимодействие, փոխազդեցություն,interaction
interest,интерес, հետաքրքրություն,intérêt
internal,внутренний, ներքին,interne
international,Международный, միջազգային,international
internet,Интернет, Համացանց,l'Internet
interview,интервью, հարցազրույց,entretien
introduction,вступление, ներածություն,introduction
investment,инвестиции, ներդրում,investissement
invite,приглашать, հրավիրել,inviter
iron,утюг, երկաթ,le fer
island,остров, կղզի,île
issue,проблема, թողարկում,publier
it,Это, այն,il
item,предмет, կետ,Objet
jacket,пиджак, բաճկոն,veste
job,работа, աշխատանք,travail
join,присоединиться, միանալ,rejoindre
joint,соединение,համատեղ,articulation
joke,шутить, կատակ,blague
judge,судить, դատավոր,juge
judgment,суждение, դատողություն,jugement
juice,сок, հյութ,jus
jump,Прыгать, ցատկել,sauter
junior,младший, կրտսեր,junior
jury,жюри, ժյուրի,jury
keep,держать, պահել,garder
key,ключ, բանալի,clé
kick,пинать, հարվածել,coup
kid,дитя, երեխա,enfant
kill,убийство, սպանել,tuer
kind,Добрый, բարի,gentil
king,король, թագավոր,Roi
kiss,целовать, համբույր,embrasser
kitchen,кухня, խոհանոց,cuisine
knee,колено, ծունկը,genou
knife,нож, դանակ,couteau
knowledge,знания, գիտելիք,connaissance
lab,лаборатория, լաբորատորիա,laboratoire
lack,недостаток, պակասություն,manquer de
ladder,лестница, սանդուղք,échelle
lady,леди, տիկին,la demoiselle
lake,озеро, լիճ,Lac
land,земельные участки, հողատարածք,atterrir
landscape,пейзаж, լանդշաֆտ,paysage
language,язык, լեզու,Langue
laugh,смех, ծիծաղել,rire
law,закон, օրենք,droit
lawyer,юрист, իրավաբան,avocat
lay,класть, պառկել,allonger
layer,слой, շերտ,couche
lead,привести, առաջնորդել,plomb
leader,лидер, առաջնորդ,leader
leadership,лидерство, ղեկավարություն,leadership
leading,ведущий, առաջատար,premier
league,лига, լիգա,ligue
leather,кожа, կաշվե,cuir
leave,оставлять, հեռանալ,laisser
lecture,лекция, դասախոսություն,conférence
leg,нога, ոտքը,jambe
length,длина, երկարությունը,longueur
lesson,урок, դաս,leçon
let,позволять, թող,laisser
letter,письмо, նամակ,lettre
level,уровень, մակարդակ,niveau
library,библиотека, գրադարան,bibliothèque
lie,ложь, ստել,mentir
life,жизнь, կյանքը,vie
lift,поднимать, վերելակ,soulever
light,свет, լույս,lumière
limit,предел, սահման,limite
line,линия, տող,la ligne
link,соединять, հղում,lien
lip,губа, շրթունք,lèvre
list,список, ցուցակը,liste
listen,Слушать, լսել,Ecoutez
literature,литература, գրականություն,Littérature
living,жизнь, ապրող,vie
load,нагрузка, ծանրաբեռնվածություն,charger
loan,заем, վարկ,prêter
local,местный, տեղական,local
location,место расположения, գտնվելու վայրը,lieu
lock,замок, կողպեք,verrouiller
log,журнал, գերան,Journal
long,длинный, երկար,long
look,смотрю, նայել,regarder
loss,потеря, կորուստ,perte
love,любовь, Սեր,amour
low,низкий, ցածր,faible
luck,удача, հաջողություն,chance
lunch,обед, լանչ,le déjeuner
machine,машина, մեքենա,machine
magazine,журнал, ամսագիր,magazine
mail,почта, փոստ,courrier
main,главный, հիմնական,principale
maintenance,поддержание, սպասարկում,maintenance
major,крупный, մայոր,Majeur
make,делать, դարձնել,Fabriquer
male,мужчина, արական,Masculin
mall,торговый центр, մոլ,centre commercial
man,человек, մարդ,homme
management,управление, կառավարում,la gestion
manager,менеджер, մենեջեր,directeur
manner,манера,եղանակով,manière
manufacturer,производитель, արտադրող,fabricant
many,много, շատերը,de nombreux
map,карта, քարտեզ,carte
march,Март, երթ,Mars
mark,отметка, նշագծել,marque
market,рынок, շուկա,marché
marketing,маркетинг, մարքեթինգ,commercialisation
marriage,брак, ամուսնություն,mariage
master,мастер, վարպետ,Maître
match,соответствовать, համընկնում,rencontre
mate,приятель, ընկեր,copain
material,материал, նյութական,Matériel
