English,Russian,French
cigarette,сигарета,cigarette
city,город,ville
claim,требовать,réclamer
class,учебный класс,classer
classic,Классик,classique
classroom,школьный класс,Salle de classe
clerk,клерк,employé de bureau
click,нажимать,Cliquez sur
client,клиент,client
climate,климат,climat
clock,Часы,l'horloge
closet,шкаф,placard
clothes,одежда,vêtements
cloud,облако,nuage
club,клуб,club
clue,Подсказка,indice
coach,тренер,entraîneur
coast,морской берег,côte
coat,Пальто,manteau
code,код,code
coffee,кофе,café
cold,холодно,froid
collar,воротник,collier
collection,коллекция,le recueil
college,колледж,collège
combination,комбинация,combinaison
combine,комбинировать,combiner
comfort,комфорт,confort
comfortable,комфортный,à l'aise
command,командование,commande
comment,комментарий,commentaire
commercial,коммерческий,commercial
commission,комиссия,commission
committee,комитет,Comité
common,общий,commun
communication,коммуникация,la communication
community,сообщество,communauté
company,Компания,compagnie
comparison,сравнение,comparaison
competition,конкуренция,concurrence
complaint,жалоба,plainte
complex,сложный,complexe
computer,компьютерный,l'ordinateur
concentrate,концентрироваться,concentré
concept,концепция,concept
concern,беспокойство,préoccuper
concert,концерт,concert
conclusion,вывод,conclusion
condition,условие,condition
conference,конференция,conférence
confidence,уверенность,confiance
conflict,конфликт,conflit
confusion,путаница,confusion
connection,связь,lien
consequence,последствие,conséquence
consideration,рассмотрение,considération
consist,состоять,consister
constant,постоянный,constant
construction,строительство,construction
contact,контакт,Contactez
contest,конкурс,concours
context,контекст,le contexte
contract,договор,Contrat
contribution,вклад,contribution
control,контроль,contrôler
conversation,беседа,conversation
convert,конвертировать,convertir
cook,готовить пищу,cuisinier
cookie,печенье,biscuit
copy,копия,copie
corner,угол,coin
cost,Стоимость,Coût
count,считать,compter
counter,прилавок,compteur
country,страна,pays
county,округ,comté
couple,пара,couple
courage,храбрость,courage
course,курс,cours
court,корт,rechercher
cousin,двоюродная сестра,cousine
cover,покрытие,couverture
cow,корова,vache
crack,трескаться,fissure
craft,ремесло,artisanat
crash,крушение,crash
crazy,псих,fou
cream,пломбир,crème
creative,творческий,Créatif
credit,кредит,le crédit
crew,экипаж,équipage
criticism,критика,critique
cross,Пересекать,traverser
cry,плакать,cri
culture,культура,Culture
cup,чашка,Coupe
currency,валюта,devise
current,Текущий,courant
curve,изгиб,courbe
customer,покупатель,client
cut,резать,Couper
cycle,цикл,cycle
dad,папа,papa
damage,наносить ущерб,dégâts
dance,танец,Danse
dare,осмеливаться,oser
dark,темный,foncé
data,данные,Les données
database,база данных,base de données
date,свидание,Date
daughter,дочь,la fille
day,день,journée
dead,мертвых,morte
deal,иметь дело,accord
dealer,дилер,Marchand
dear,Уважаемые,chère
death,смерть,décès
debate,дебаты,débat
debt,долг,dette
decision,решение,décision
deep,глубокий,Profond
definition,определение,définition
degree,степень,diplôme
delay,задерживать,retard
delivery,Доставка,livraison
demand,требование,demande
department,отделение,département
departure,Вылет из,Départ
dependent,зависимый,dépendant
deposit,депозитный,verser
depression,депрессия,la dépression
depth,глубина,profondeur
description,описание,la description
design,дизайн,motif
designer,дизайнер,designer
desire,желание,désir
desk,стол письменный,bureau
detail,деталь,détail
development,разработка,développement
device,устройство,dispositif
devil,дьявол,diable
diamond,бриллиант,diamant
diet,диета,diète
difference,разница,différence
difficulty,трудность,difficulté
dig,копать землю,creuser
dimension,измерение,dimension
dinner,обед,dîner
direction,направление,direction
director,директор,directeur
dirt,грязь,saleté
disaster,стихийное бедствие,un sinistre
discipline,дисциплина,la discipline
discount,скидка,remise
discussion,дискуссия,discussion
disease,болезнь,maladie
dish,блюдо,assiette
disk,диск,disque
display,отображать,affichage
distance,расстояние,distance
distribution,распределение,Distribution
district,округ,district
divide,разделять,diviser
doctor,доктор,docteur
document,документ,document
dog,собака,chien
door,дверь,porte
dot,точка,point
double,двойной,double
doubt,сомневаться,doute
draft,черновик,Brouillon
drag,тяга,glisser
drama,драма,drame
draw,рисовать,dessiner
drawer,ящик стола,tiroir
drawing,Рисование,dessin
dream,мечтать,rêver
dress,платье,robe
drink,напиток,boisson
drive,водить машину,conduire
driver,Водитель,chauffeur
drop,уронить,goutte
drunk,пьяный,ivre
due,в связи,exigible
dump,свалка,décharger
dust,пыль,poussière
duty,долг,devoir
ear,ухо,oreille
earth,земной шар,la terre
ease,простота,faciliter
east,восток,est
eat,есть,manger
economics,Экономика,économie
economy,экономика,économie
edge,край,bord
editor,редактор,éditeur
education,образование,éducation
effect,эффект,effet
effective,эффективная,efficace
efficiency,эффективность,Efficacité
effort,усилие,effort
egg,яйцо,Oeuf
election,выборы,élection
elevator,лифт,ascenseur
emergency,чрезвычайная ситуация,urgence
emotion,эмоция,émotion
emphasis,акцент,accent
employ,применять,employer
employee,работник,employé
employer,работодатель,employeur
employment,трудоустройство,emploi
end,конец,fin
energy,энергия,énergie
engine,двигатель,moteur
engineer,инженер,ingénieur
engineering,инженерный,ingénierie
entertainment,развлечения,divertissement
enthusiasm,энтузиазм,enthousiasme
entrance,вход,entrée
entry,вход,entrée
environment,Окружающая среда,environnement
equal,равный,égal
equipment,оборудование,équipement
equivalent,эквивалент,équivalent
error,ошибка,Erreur
escape,побег,échapper
essay,сочинение,rédaction
establishment,учреждение,établissement
estate,имущество,domaine
estimate,оценивать,estimation
evening,вечер,soirée
event,мероприятие,un événement
evidence,доказательство,preuve
exam,экзамен,examen
examination,экзамен,examen
example,пример,Exemple
exchange,обмен,échanger
excitement,возбуждение,excitation
excuse,извинение,excuse
exercise,упражнение,exercer
exit,выход,sortir
experience,опыт,vivre
expert,эксперт,expert
explanation,объяснение,explication
expression,выражение,expression
extension,расширение,extension
extent,степень,Le degré
external,внешний,externe
extreme,крайний,extrême
eye,глаз,œil
face,лицо,Visage
fact,факт,fait
factor,фактор,facteur
fail,потерпеть неудачу,échouer
failure,отказ,échec
fall,падение,tomber
familiar,привычный,familier
family,семья,famille
fan,поклонник,ventilateur
farm,ферма,cultiver
farmer,фермер,agriculteur
fat,толстый,gros
father,отец,père
fault,вина,défaut
fear,страх,craindre
feature,особенность,caractéristique
fee,платеж,frais
feed,подача,nourrir
feedback,Обратная связь,retour d'information
feel,Чувствовать,se sentir
feeling,чувство,sentiment
female,женский,femelle
few,несколько,peu
field,поле,champ
fight,Борьба,lutte
figure,фигура,chiffre
file,файл,dossier
fill,наполнять,remplir
film,фильм,film
final,финал,final
finance,финансы,finance
finding,нахождение,découverte
finger,Палец,doigt
finish,финиш,terminer
fire,Огонь,Feu
fish,рыбы,poisson
fishing,ловит рыбу,faire de la pêche
fix,исправить,réparer
flight,полет,voyage en avion
floor,пол,sol
flow,поток,couler
flower,цветок,fleur
fly,летать,mouche
focus,фокус,se concentrer
fold,складывать,plier
following,следующий,Suivant
food,еда,aliments
foot,ступня,le pied
football,футбол,Football
force,сила,Obliger
forever,навсегда,toujours
form,форма,formulaire
formal,формальный,officiel
fortune,удача,fortune
foundation,Фонд,fondation
frame,Рамка,Cadre
freedom,свобода,liberté
friend,друг,ami
friendship,дружба,relation amicale
front,фронт,de face
fruit,фрукты,fruit
fuel,топливо,le carburant
fun,весело,amusement
function,функция,fonction
funeral,похороны,funéraire
funny,смешной,drôle
future,будущее,avenir
gain,прирост,Gain
game,игра,Jeu
gap,зазор,écart
garage,гараж,garage
garbage,мусор,des ordures
garden,сад,jardin
gas,газ,gaz
gate,ворота,portail
gather,собирать,rassembler
gear,механизм,équipement
gene,ген,gène
general,Генеральная,général
gift,подарок,cadeau
girl,девочка,fille
girlfriend,любимая девушка,petite amie
give,дайте,donner
glad,радостный,content
glass,стакан,verre
glove,перчатка,gant
go,идти,aller
goal,Цель,objectif
god,Бог,dieu
gold,золото,or
golf,гольф,le golf
good,хороший,bien
government,правительство,gouvernement
grab,схватить,saisir
grade,оценка,noter
grand,гранд,grandiose
grandfather,дедушка,grand-père
grandmother,бабушка,grand-mère
grass,трава,herbe
great,большой,génial
green,зеленый,vert
grocery,бакалея,épicerie
ground,земля,terrain
group,группа,groupe
growth,рост,croissance
guarantee,гарантия,garantie
guard,сторожить,gardien
guess,предполагать,deviner
guest,гость,invité
guidance,руководство,conseils
guide,руководство,guide
guitar,гитара,guitare
guy,парень,mec
habit,привычка,habitude
hair,волосы,Cheveu
half,половина,demi
hall,зал,salle
hand,рука,main
handle,справиться,manipuler
hang,вешать,pendre
harm,вред,préjudice
hat,шляпа,chapeau
hate,ненавидеть,détester
head,глава,tête
health,здоровье,santé
hearing,слушание,audience
heart,сердце,cœur
heat,нагревать,Chauffer
heavy,тяжелый,lourd
height,высота,la taille
hell,ад,enfer
hello,привет,bonjour
help,помощь,aider
hide,Спрятать,cacher
high,высокая,haute
highlight,выделять,souligner
highway,шоссе,Autoroute
hire,прокат,embaucher
historian,историк,historien
history,история,l'histoire
hit,хит,succès
hold,держать,tenir
hole,отверстие,trou
holiday,праздничный день,vacance
home,дом,domicile
homework,домашнее задание,devoirs
honey,медовый,Miel
hook,крюк,accrocher
hope,надеяться,espoir
horror,ужастик,horreur
horse,лошадь,cheval
hospital,больница,hôpital
host,хозяин,héberger
hotel,отель,Hôtel
hour,час,heure
house,дом,loger
housing,Корпус,logement
human,человек,Humain
hunt,охотиться,chasse
hurry,торопиться,dépêche toi
hurt,повредить,blesser
husband,муж,mari
ice,лед,la glace
idea,идея,idée
ideal,идеал,idéal
if,если,si
illegal,нелегальный,illégal
image,изображение,image
imagination,воображение,imagination
impact,влияние,impact
implement,осуществлять,mettre en place
importance,значение,importance
impress,впечатление,impressionner
impression,впечатление,impression
improvement,улучшение,amélioration
incident,инцидент,incident
income,доход,le revenu
increase,увеличивать,augmenter
independence,Независимость,indépendance
independent,независимый,indépendant
indication,Индикация,indication
individual,индивидуальный,individuel
industry,промышленность,industrie
inevitable,неизбежный,inévitable
inflation,инфляция,inflation
influence,влияние,rayonnement
information,Информация,informations
initial,исходный,initial
initiative,инициатива,initiative
injury,рана,blessure
insect,насекомое,insecte
inside,внутри,à l'intérieur
inspection,осмотр,inspection
inspector,инспектор,inspecteur
instance,пример,exemple
instruction,инструкция,instruction
insurance,страхование,Assurance
intention,намерение,intention
interaction,взаимодействие,interaction
interest,интерес,intérêt
internal,внутренний,interne
international,Международный,international
internet,Интернет,l'Internet
interview,интервью,interview
introduction,введение,introduction
investment,инвестиции,investissement
invite,приглашать,inviter
iron,утюг,le fer
island,остров,île
issue,проблема,publier
it,Это,ce
item,вещь,Objet
jacket,пиджак,veste
job,работа,travail
join,присоединиться,rejoindre
joint,соединение,découper
joke,шутить,plaisanter
judge,судить,juge
judgment,суждение,jugement
juice,сок,jus
jump,Прыжок,saut
junior,младший,junior
jury,жюри,jury
keep,хранить,donjon
key,ключ,clé
kick,пинать,donner un coup
kid,ребенок,enfant
kill,убийство,tuer
kind,Добрый,gentil
king,король,Roi
kiss,целовать,embrasser
kitchen,кухня,cuisine
knee,колено,genou
knife,нож,couteau
knowledge,знания,connaissances
lab,лаборатория,laboratoire
lack,недостаток,manque
ladder,лестница,échelle
lady,леди,la demoiselle
lake,озеро,Lac
land,земельные участки,terrain
landscape,пейзаж,paysage
language,язык,Langue
laugh,смех,rire
law,закон,droit
lawyer,юрист,avocat
lay,класть,allonger
layer,слой,couche
lead,привести,conduire
leader,лидер,chef
leadership,лидерство,leadership
leading,ведущий,premier
league,лига,ligue
leather,кожа,cuir
leave,оставлять,Pars
lecture,лекция,conférence
leg,нога,jambe
length,длина,longueur
lesson,урок,leçon
let,позволять,laisser
letter,письмо,lettre
level,уровень,niveau
library,библиотека,bibliothèque
lie,ложь,mentir
life,жизнь,la vie
lift,поднимать,lever
light,легкий,lumière
limit,предел,limite
line,линия,ligne
link,ссылка на сайт,lien
lip,губа,lèvre
list,список,liste
listen,Слушать,Ecoutez
literature,литература,Littérature
living,жизнь,vivant
load,нагрузка,charger
loan,заем,prêt
local,местный,local
location,расположение,emplacement
lock,замок,bloquer
log,журнал,Journal
long,длинная,long
look,Смотреть,voir
loss,потеря,perte
love,любовь,aimer
low,низкий,bas
luck,удача,chance
lunch,обед,déjeuner
machine,машина,machine
magazine,журнал,magazine
mail,почта,courrier
main,главный,principale
maintenance,техническое обслуживание,maintenance
major,главный,Majeur
make,делать,Fabriquer
male,мужчина,Masculin
mall,торговый центр,centre commercial
man,человек,homme
management,управление,la gestion
manager,управляющий делами,gestionnaire
manner,манера,manière
manufacturer,производитель,fabricant
many,много,de nombreux
map,карта,carte
march,марш,Mars
mark,отметка,marque
market,рынок,marché
marketing,маркетинг,commercialisation
marriage,свадьба,mariage
master,мастер,Maître
match,соответствие,match
mate,приятель,camarade
material,материал,Matériel
math,математика,math
matter,иметь значение,question
maximum,максимум,maximum
maybe,может быть,peut être
meal,еда,repas
meaning,значение,sens
measurement,измерение,la mesure
meat,мясо,Viande
media,СМИ,médias
medicine,лекарственное средство,Médicament
medium,средний,moyen
meet,встретиться,rencontrer
meeting,встреча,Rencontre
member,член,membre
membership,членство,adhésion
memory,Память,Mémoire
mention,упомянуть,mention
menu,меню,menu
mess,беспорядок,désordre
message,сообщение,message
metal,металл,métal
method,метод,méthode
middle,середина,milieu
midnight,полночь,minuit
might,мощь,force
milk,молоко,Le Lait
mind,разум,dérange
mine,мой,mien
minimum,минимум,le minimum
minor,незначительный,mineure
minute,минута,minute
mirror,зеркало,miroir
miss,скучать,Mademoiselle
mission,миссия,mission
mistake,ошибка,erreur
mix,смешивание,mélanger
mixture,смесь,mélange
mobile,мобильный,portable
mode,Режим,mode
model,модель,maquette
mom,Мама,maman
moment,мгновенный,moment
money,Деньги,argent
monitor,монитор,moniteur
month,месяц,mois
mood,настроение,ambiance
morning,утро,Matin
mortgage,ипотека,hypothèque
most,самый,plus
mother,мать,mère
motor,мотор,moteur
mountain,гора,Montagne
mouse,мыши,Souris
mouth,рот,bouche
move,шаг,mouvement
movie,кино,film
mud,грязь,boue
muscle,мышца,le muscle
music,Музыка,musique
nail,ноготь,clou
name,имя,Nom
nasty,противный,méchant
nation,нация,nation
national,национальный,nationale
native,родной,originaire de
natural,естественный,Naturel
nature,природа,la nature
neat,аккуратный,soigné
necessary,необходимый,nécessaire
neck,шея,cou
negative,отрицательный,négatif
negotiation,Переговоры,négociation
nerve,нерв,nerf
net,сеть,rapporter
network,сеть,réseau
news,Новости,nouvelles
newspaper,газета,un journal
night,ночь,nuit
nobody,никто,personne
noise,шум,bruit
normal,обычный,Ordinaire
north,к северу,Nord
nose,нос,nez
note,примечание,Remarque
nothing,ничего такого,rien
notice,уведомление,remarquer
novel,роман,roman
number,количество,Numéro
nurse,медсестра,infirmière
object,объект,objet
objective,задача,objectif
obligation,обязательство,obligation
occasion,повод,occasion
offer,предложение,offrir
office,офис,Bureau
officer,офицер,officier
official,чиновник,officiel
oil,масло,pétrole
one,один,une
opening,открытие,ouverture
operation,операция,opération
opinion,мнение,opinion
opportunity,возможность,occasion
opposite,противоположный,opposé
option,вариант,option
orange,апельсин,orange
order,заказ,ordre
ordinary,обычный,ordinaire
organization,организация,organisme
original,оригинал,original
other,Другой,autre
outcome,исход,résultat
outside,вне,à l'extérieur
oven,печь,four
owner,владелец,propriétaire
pace,шаг,rythme
pack,пакет,paquet
package,упаковка,forfait
page,страница,page
pain,боль,la douleur
paint,краска,Peinture
painting,картина,La peinture
pair,пара,paire
panic,паника,panique
paper,бумага,papier
parent,родительский,parent
park,парк,parc
parking,стоянка,parking
part,часть,partie
particular,конкретный,particulier
partner,партнер,partenaire
party,партия,faire la fête
pass,проходить,passer
passage,проход,passage
passenger,пассажир,passager
passion,страсть,la passion
past,мимо,passé
path,дорожка,chemin
patience,терпение,patience
patient,пациент,patient
pattern,шаблон,motif
pause,Пауза,pause
pay,платить,Payer
payment,оплата,Paiement
peace,мир,paix
peak,вершина горы,de pointe
pen,ручка,stylo
penalty,штраф,peine
pension,пенсия,Pension
people,люди,personnes
percentage,процент,pourcentage
perception,восприятие,la perception
performance,производительность,performance
period,период,période
permission,разрешение,autorisation
permit,разрешать,permis
person,человек,la personne
personal,личный,personnel
personality,личность,personnalité
perspective,перспектива,perspective
phase,фаза,phase
philosophy,Философия,philosophie
phone,Телефон,téléphoner
photo,Фото,photo
phrase,фраза,phrase
physical,физический,physique
physics,физика,la physique
piano,пианино,piano
pick,выбирать,prendre
picture,картина,image
pie,пирог,tarte
piece,кусок,pièce
pin,штырь,broche
pipe,трубка,tuyau
pitch,подача,terrain
pizza,пицца,pizza
place,место,place
plan,план,planifier
plane,самолет,avion
plant,завод,plante
plastic,пластик,Plastique
plate,пластина,assiette
platform,Платформа,Plate-forme
play,играть в,jouer
player,игрок,joueur
pleasure,удовольствие,plaisir
plenty,множество,abondance
poem,стих,poème
poet,поэт,poète
poetry,поэзия,poésie
point,точка,indiquer
police,полиция,police
policy,политика,politique
politics,политика,politique
pollution,загрязнение,la pollution
pool,бассейн,bassin
pop,поп,populaire
population,Население,population
position,должность,position
positive,положительный,positif
possession,владение,possession
possibility,возможность,possibilité
possible,возможный,possible
post,почта,Publier
pot,горшок,pot
potato,картошка,Patate
potential,потенциал,potentiel
pound,фунт,livre
power,сила,Puissance
practice,упражняться,pratique
preference,предпочтение,préférence
preparation,подготовка,préparation
presence,присутствие,présence
present,подарок,cadeau
presentation,презентация,présentation
president,президент,Président
press,Нажмите,presse
pressure,давление,pression
price,цена,le prix
pride,гордость,Orgueil
priest,священник,prêtre
primary,начальный,primaire
principle,принцип,principe
print,Распечатать,imprimer
prior,прежний,préalable
priority,приоритет,priorité
private,частный,privé
prize,приз,prix
problem,проблема,problème
procedure,процедура,procédure
process,процесс,traiter
produce,производить,produire
product,товар,produit
profession,профессия,profession
professional,профессионал,professionnelle
professor,профессор,professeur
profile,профиль,profil
profit,выгода,profit
program,программа,programme
progress,прогресс,le progrès
project,проект,projet
promise,обещать,promettre
promotion,продвижение,promotion
prompt,быстрый,rapide
proof,доказательство,preuve
property,имущество,propriété
proposal,предложение,proposition
protection,защита,protection
psychology,психология,psychologie
public,публичный,Publique
pull,тянуть,tirer
punch,ударить кулаком,coup de poing
purchase,покупка,achat
purple,пурпурный,violet
purpose,цель,objectif
push,толкать,pousser
put,помещать,mettre
quality,качественный,qualité
quantity,количество,quantité
quarter,четверть,trimestre
queen,Королева,reine
question,вопрос,question
quiet,тихо,calme
quit,покидать,quitter
quote,цитировать,Devis
race,гонка,course
radio,радио,radio
rain,дождь,pluie
raise,поднимать,soulever
range,диапазон,intervalle
rate,оценивать,évaluer
ratio,соотношение,rapport
raw,сырой,cru
reach,достигать,atteindre
reaction,реакция,réaction
read,читать,lis
reading,чтение,en train de lire
reality,реальность,réalité
reason,причина,raison
reception,прием,ACCUEIL
recipe,рецепт,Recette
recognition,признание,reconnaissance
recommendation,рекомендация,recommandation
record,записывать,enregistrement
recording,запись,enregistrement
recover,восстанавливаться,récupérer
red,красный,rouge
reference,ссылка,référence
reflection,отражение,réflexion
refrigerator,холодильник,réfrigérateur
refuse,мусор,refuser
region,"область, край",Région
register,регистр,S'inscrire
regret,сожалеть,regret
regular,обычный,habituel
relation,связь,relation
relationship,отношение,relation
relative,родственник,relatif
release,выпускать,Libération
relief,рельеф,le soulagement
remote,удаленный,télécommande
remove,удалять,retirer
rent,арендовать,location
repair,ремонт,réparation
repeat,повторение,répéter
replacement,замена,remplacement
reply,Ответить,Réponse
report,отчет,rapport
representative,представитель,représentant
republic,Республика,république
reputation,репутация,réputation
request,запрос,demande
requirement,требование,exigence
research,исследовательская работа,rechercher
reserve,резерв,réserve
resident,житель,résident
resist,сопротивляться,résister
resolution,разрешающая способность,résolution
resolve,решать,résoudre
resort,прибегнуть,station balnéaire
resource,ресурс,Ressource
respect,уважать,respect
respond,реагировать,répondre
response,отклик,réponse
responsibility,обязанность,responsabilité
rest,отдыхать,le repos
restaurant,ресторан,restaurant
result,результат,résultat
return,возвращаться,revenir
reveal,показывать,révéler
revenue,доход,revenu
review,обзор,examen
revolution,революция,révolution
reward,награда,récompense
rice,рис,riz
rich,богатый,riche
ride,поездка,balade
ring,звенеть,bague
rip,рвать,repose en paix
rise,подниматься,monter
risk,риск,risque
river,река,fleuve
road,Дорога,route
rock,рок,rock
role,роль,rôle
roll,рулон,rouleau
roof,крыша,toit
room,номер,chambre
rope,веревка,corde
rough,грубый,rugueux
round,круглый,tour
routine,рутина,routine
row,строка,ligne
royal,Королевский,Royal
rub,натирать,frotter
ruin,руина,ruine
rule,правило,régner
run,бежать,Cours
rush,порыв,se ruer
sad,грустный,triste
safe,Безопасно,sûr
safety,безопасность,sécurité
sail,плыть,naviguer
salad,салат,salade
salary,зарплата,un salaire
sale,распродажа,vendre
salt,соль,sel
sample,образец,goûter
sand,песок,le sable
sandwich,сэндвич,sandwich
satisfaction,удовлетворение,la satisfaction
save,спасти,enregistrer
savings,сбережения,des économies
scale,шкала,échelle
scene,сцена,scène
schedule,расписание,programme
scheme,схема,schème
school,школа,école
science,наука,la science
score,счет,score
scratch,царапать,se gratter
screen,экран,filtrer
screw,винт,vis
script,сценарий,scénario
sea,море,mer
search,поиск,chercher
season,время года,saison
seat,сиденье,siège
second,второй,deuxième
secret,секрет,secret
secretary,секретарь,secrétaire
section,раздел,section
sector,сектор,secteur
security,безопасность,Sécurité
selection,выбор,sélection
self,себя,soi
sell,продавать,vendre
senior,старший,Sénior
sense,смысл,sens
sensitive,чувствительный,sensible
sentence,приговор,phrase
series,серии,série
serve,обслуживать,servez
service,оказание услуг,service
session,сессия,session
set,установлен,Positionner
setting,параметр,paramètre
sex,секс,sexe
shake,встряхнуть,secouer
shame,стыд,la honte
shape,форма,forme
share,Поделиться,partager
she,она,elle
shelter,приют,abri
shift,сдвиг,décalage
shine,светить,briller
ship,судно,bateau
shirt,Рубашка,chemise
shock,шок,choc
shoe,обувь,chaussure
shoot,стрелять,tirer
shop,магазин,magasin
shopping,поход по магазинам,achats
shot,выстрелил,tir
shoulder,плечо,épaule
show,показывать,Afficher
shower,душ,douche
sick,больной,malade
side,сторона,côté
sign,знак,pancarte
signal,сигнал,signal
signature,подпись,Signature
significance,значение,importance
silly,глупый,idiot
silver,Серебряный,argent
simple,просто,Facile
sing,петь,chanter
singer,певец,chanteuse
single,не замужем,Célibataire
sink,раковина,évier
sir,сэр,Monsieur
sister,сестра,sœur
site,сайт,placer
situation,ситуация,situation
size,размер,Taille
skill,навык,compétence
skin,кожа,peau
skirt,юбка,jupe
sky,небо,ciel
sleep,спать,dormir
slice,ломтик,tranche
slide,горка,faire glisser
slip,соскальзывать,caleçon
smell,запах,sentir
